id	topic_id	thread_id	type	formula
q_81	A.308	4214335	body	s
q_82	A.308	4214335	body	s=0
q_83	A.308	4214335	body	x
q_84	A.308	4214335	body	C
q_85	A.308	4214335	body	\epsilon
q_86	A.308	4214335	body	\delta
q_87	A.308	4214335	body	R+i\epsilon
q_88	A.308	4214335	body	R-i\epsilon
q_89	A.308	4214335	body	R
q_90	A.308	4214335	body	\epsilon
q_91	A.309	4212480	body	\mathbb{F}_p
q_92	A.309	4212480	body	x^3=a
q_93	A.309	4212480	body	\mathbb{F}_p
q_94	A.309	4212480	body	p
q_95	A.309	4212480	body	p\equiv 2 (\text{mod }3)
q_96	A.309	4212480	body	\mathbb{F}_p
q_97	A.309	4212480	body	a\in \mathbb{F}_p
q_98	A.309	4212480	body	\gcd(3,p-1)=1
q_99	A.310	4202380	title	\frac{4}{x}+\frac{10}{y}=1
q_100	A.310	4202380	body	\frac{4}{x} + \frac{10}{y} = 1
q_101	A.311	4199950	title	f(x)=\frac{9^{x}}{9^x+3}
q_102	A.311	4199950	title	f(\frac{1}{27})+ f(\frac{2}{27}) + f(\frac{3}{27})+ ...+ f(\frac{26}{27})
q_103	A.311	4199950	body	f(x)=\frac{9^{x}}{9^x+3}
q_104	A.311	4199950	body	f(\frac{1}{27})+ f(\frac{2}{27}) + f(\frac{3}{27})+ ...+ f(\frac{26}{27})
q_105	A.311	4199950	body	\frac{9^{x}}{9^x+3}
q_106	A.311	4199950	body	1+\frac{9^{x}}{3}
q_107	A.311	4199950	body	9^{\frac{1}{27}}
q_108	A.311	4199950	body	9^{\frac{2}{27}}
q_109	A.311	4199950	body	9^{\frac{2}{27}}
q_110	A.311	4199950	body	9^{\frac{3}{27}}
q_111	A.311	4199950	body	\frac{n}{27}
q_112	A.312	4199153	title	\left\lfloor \frac{\left\lfloor a/b \right\rfloor}{c} \right\rfloor=\left\lfloor\frac{a}{bc}\right\rfloor
q_113	A.312	4199153	title	a
q_114	A.312	4199153	title	b
q_115	A.312	4199153	title	c
q_116	A.312	4199153	body	\left\lfloor \frac{\left\lfloor \dfrac{a}{b} \right\rfloor}{c} \right\rfloor = \left\lfloor \frac{a}{bc} \right\rfloor
q_117	A.312	4199153	body	a,b,c \in \mathbb{Z}^+
q_118	A.313	4196659	title	a,b\in G
q_119	A.313	4196659	title	|a|=r, |b|=s
q_120	A.313	4196659	title	\gcd(r,s)=1
q_121	A.313	4196659	title	|ab|=rs
q_122	A.313	4196659	body	a,b\in G
q_123	A.313	4196659	body	|a|=r, |b|=s
q_124	A.313	4196659	body	\gcd(r,s)=1
q_125	A.313	4196659	body	|ab|=rs
q_126	A.313	4196659	body	|ab|=n
q_127	A.313	4196659	body	G
q_128	A.313	4196659	body	(ab)^n=a^nb^n=1
q_129	A.313	4196659	body	r\mid n
q_130	A.313	4196659	body	s\mid n
q_131	A.313	4196659	body	\gcd(r,s)=1
q_132	A.313	4196659	body	rs\mid n
q_133	A.313	4196659	body	rs=n
q_134	A.313	4196659	body	G
q_135	A.313	4196659	body	n\mid{\rm lcm}(r,s)
q_136	A.313	4196659	body	\gcd(r,s)=1
q_137	A.313	4196659	body	{\rm lcm}(r,s)=rs
q_138	A.313	4196659	body	n\mid rs
q_139	A.313	4196659	body	rs\mid n
q_140	A.313	4196659	body	n=rs
q_141	A.314	4191388	body	\{e_n\}
q_142	A.314	4191388	body	\sum \|e_n-x_n\| < 1
q_143	A.314	4191388	body	\{x_n\}
q_144	A.314	4191388	body	H
q_145	A.314	4191388	body	x_n
q_146	A.314	4191388	body	0
q_147	A.315	4190793	body	n
q_148	A.315	4190793	body	P(m)
q_149	A.315	4190793	body	P(m\text{++})
q_150	A.315	4190793	body	P(m)
q_151	A.315	4190793	body	P(n)
q_152	A.315	4190793	body	P(m)
q_153	A.315	4190793	body	m ≤ n
q_154	A.315	4190793	body	n
q_155	A.315	4190793	body	P(m)
q_156	A.315	4190793	body	\forall
q_157	A.315	4190793	body	0\geq m
q_158	A.315	4190793	body	\forall m
q_159	A.315	4190793	body	P(m\text{++})\implies P(m)
q_160	A.315	4190793	body	P(0)
q_161	A.315	4190793	body	P(m)
q_162	A.315	4190793	body	\forall
q_163	A.315	4190793	body	0\geq m
q_164	A.315	4190793	body	0\geq m
q_165	A.315	4190793	body	0=m+a
q_166	A.315	4190793	body	a
q_167	A.315	4190793	body	m=a=0
q_168	A.315	4190793	body	P(0)
q_169	A.315	4190793	body	n=0
q_170	A.315	4190793	body	n
q_171	A.315	4190793	body	n\text{++}
q_172	A.315	4190793	body	\forall m
q_173	A.315	4190793	body	P(m\text{++})\implies P(m)
q_174	A.315	4190793	body	P(n)\implies P(m)
q_175	A.315	4190793	body	\forall
q_176	A.315	4190793	body	n\geq m
q_177	A.315	4190793	body	P(n\text{++})
q_178	A.315	4190793	body	m=n
q_179	A.315	4190793	body	P(n\text{++})\implies P(n)
q_180	A.315	4190793	body	P(n)\implies P(m)
q_181	A.315	4190793	body	n=m
q_182	A.315	4190793	body	P(n\text{++})\implies P(m)
q_183	A.315	4190793	body	n\text{++}>m
q_184	A.315	4190793	body	n\text{++}=m
q_185	A.315	4190793	body	P(n\text{++})
q_186	A.315	4190793	body	P(n\text{++})\implies P(m)
q_187	A.315	4190793	body	\forall
q_188	A.315	4190793	body	n\text{++}\geq m
q_189	A.316	4189948	body	\mathbb{Z}/2^m \mathbb{Z}
q_190	A.316	4189948	body	m
q_191	A.316	4189948	body	2^{m-1}
q_192	A.316	4189948	body	(\mathbb{Z}/2 \mathbb{Z})^* = C_1
q_193	A.316	4189948	body	(\mathbb{Z}/4 \mathbb{Z})^* = C_2
q_194	A.316	4189948	body	(\mathbb{Z}/8 \mathbb{Z})^* = C_2 \times C_2
q_195	A.316	4189948	body	(\mathbb{Z}/16 \mathbb{Z})^* = C_2 \times C_4
q_196	A.316	4189948	body	(\mathbb{Z}/32 \mathbb{Z})^* = C_2 \times C_8
q_197	A.316	4189948	body	m > 1
q_198	A.316	4189948	body	(\mathbb{Z}/2^m \mathbb{Z})^* = C_2 \times C_{2^{m-2}}
q_199	A.317	4187726	title	\int \frac{1}{\left(x^2+1\right)^n}dx
q_200	A.317	4187726	body	\int \frac{1}{\left(x^2+1\right)^n}dx
q_201	A.317	4187726	body	n=1
q_202	A.317	4187726	body	\tan^{-1}x+C
q_203	A.317	4187726	body	n=2
q_204	A.317	4187726	body	x\left(\frac{1}{2\left(x^2+1\right)}+\frac{\tan \:^{-1}}{2x}\right)+C
q_205	A.317	4187726	body	n\in \mathbb{Z_+}
q_206	A.318	4186445	title	e^{x} \geq \left(1+\frac{x}{n}\right)^{n}
q_207	A.318	4186445	title	n \geq 1
q_208	A.318	4186445	body	e^{x} \geq \left(1+\frac{x}{n}\right)^{n}
q_209	A.318	4186445	body	n \geq 1
q_210	A.318	4186445	body	n \geq 1
q_211	A.318	4186445	body	n=1
q_212	A.318	4186445	body	e^x \geq 1+x
q_213	A.318	4186445	body	e^{x} \geq \left(1+\frac{x}{n}\right)^{n}
q_214	A.318	4186445	body	(1+\frac{x}{n+1})^{n+1}
q_215	A.318	4186445	body	(1+\frac{x}{n+1})^{n}
q_216	A.318	4186445	body	(1+\frac{x}{n+1})^{n} < \left(1+\frac{x}{n}\right)^{n} \leq e^x = \frac{d}{dx} e^x
q_217	A.319	4185541	title	\mathbb{R}
q_218	A.319	4185541	body	A_1 \subseteq A_2 \subseteq \ldots \subseteq A_n \subseteq A_{n+1} \subseteq \ldots
q_219	A.319	4185541	body	A
q_220	A.319	4185541	body	A
q_221	A.319	4185541	body	(A, \subseteq)
q_222	A.319	4185541	body	A
q_223	A.319	4185541	body	B=\bigcup_{n \in \Bbb{N}} A_n
q_224	A.319	4185541	body	m
q_225	A.319	4185541	body	A_m \subseteq B
q_226	A.319	4185541	body	B
q_227	A.319	4185541	body	A
q_228	A.319	4185541	body	A
q_229	A.319	4185541	body	A
q_230	A.319	4185541	body	X
q_231	A.319	4185541	body	X
q_232	A.319	4185541	body	X = \Bbb{R}
q_233	A.319	4185541	body	X \neq \Bbb{R}
q_234	A.319	4185541	body	x \in \Bbb{R}
q_235	A.319	4185541	body	x \notin X
q_236	A.319	4185541	body	Y=X \cup \{x\}
q_237	A.319	4185541	body	Y
q_238	A.319	4185541	body	X \subsetneq Y
q_239	A.319	4185541	body	X
q_240	A.319	4185541	body	X = \Bbb{R}
q_241	A.319	4185541	body	\Bbb{R}
q_242	A.320	4185408	body	\int_{0}^{1}\frac{\sin^{-1}(x)}{x}
q_243	A.320	4185408	body	\mathcal I = \int_0^1 \frac{\arcsin(x)}{x}
q_244	A.320	4185408	body	\mathcal I = \int_0^{\frac{\pi}{2}} \frac{t}{\sin(t)} \cos(t) dt\tag{Bounds have changed}
q_245	A.320	4185408	body	= \int_0^{\frac{\pi}{2}} t\space\cot(t) dt
q_246	A.320	4185408	body	-\int_0^{\frac{\pi}{2}} \ln(sin(t))dt\tag{t*ln(sin(t)) = 0}
q_247	A.320	4185408	body	x = \sin(t)
q_248	A.320	4185408	body	t = \arcsin(x)
q_249	A.320	4185408	body	dx = \cos(t) dt
q_250	A.320	4185408	body	\space$$u = t
q_251	A.320	4185408	body	\implies du = dt
q_252	A.320	4185408	body	dv = \cot(t)
q_253	A.320	4185408	body	\implies v = \ln(\sin(t))
q_254	A.320	4185408	body	= t\space\ln(\sin(t))
q_255	A.320	4185408	body	0
q_256	A.320	4185408	body	\frac{\pi}{2}
q_257	A.321	4183619	title	ax+by=d
q_258	A.321	4183619	title	d \neq \gcd(a,b)
q_259	A.321	4183619	body	3x+4y=14
q_260	A.321	4183619	body	\gcd(3,4)=1
q_261	A.321	4183619	body	14
q_262	A.321	4183619	body	3(6) + 4(-1) =14
q_263	A.321	4183619	body	3(6-4k) + 4(-1+3k) = 14 (1)
q_264	A.321	4183619	body	k
q_265	A.321	4183619	body	k>1/3
q_266	A.321	4183619	body	k<3/2
q_267	A.321	4183619	body	k = 1
q_268	A.321	4183619	body	k
q_269	A.321	4183619	body	(1)
q_270	A.321	4183619	body	a=2, b=2
q_271	A.321	4183619	body	(a,b)=(4,-1)
q_272	A.321	4183619	body	2
q_273	A.322	4182890	body	a_n=\frac{n(n+1)}{2}
q_274	A.322	4182890	body	b_n=\sum_{x=1}^na_x
q_275	A.322	4182890	body	c_n=\sum_{x=1}^nb_x
q_276	A.322	4182890	body	\frac{n(n+1)}{2}
q_277	A.322	4182890	body	1,3,6,10,15...
q_278	A.322	4182890	body	c_n
q_279	A.322	4182890	body	b_n=\frac{n(n+1)(n+2)}{6}
q_280	A.322	4182890	body	a_n
q_281	A.322	4182890	body	b_n
q_282	A.322	4182890	body	c_n
q_283	A.322	4182890	body	\frac{n(n+1)(n+2)(n+3)}{24}
q_284	A.322	4182890	body	\frac{n(n+1)(n+2)(n+3)}{12}
q_285	A.322	4182890	body	n=1
q_286	A.322	4182890	body	c_n=1
q_287	A.322	4182890	body	\frac{n(n+1)(n+2)(n+3)}{24}=1
q_288	A.322	4182890	body	\frac{n(n+1)(n+2)(n+3)}{12}=2
q_289	A.322	4182890	body	n=2
q_290	A.322	4182890	body	c_n=1+4=5
q_291	A.322	4182890	body	\frac{n(n+1)(n+2)(n+3)}{24}=5
q_292	A.322	4182890	body	n=3
q_293	A.322	4182890	body	c_n=1+4+10=15
q_294	A.322	4182890	body	\frac{n(n+1)(n+2)(n+3)}{24}=\frac{360}{24}=15
q_295	A.323	4181152	title	\overline{x^2 -x}
q_296	A.323	4181152	title	(\mathbb{R} [x]/(x^4 + 1))^*
q_297	A.323	4181152	body	\overline{x^2 -x}
q_298	A.323	4181152	body	(\mathbb{R} [x]/(x^4 + 1))^*
q_299	A.324	4180416	body	 \sum_{n=1}^{\infty} \sum_{m=1}^\infty \frac{1}{{n^2 +m^2}}. 
q_300	A.324	4180416	body	 \sum_{m=1}^{\infty}\frac{1}{x^2+m^2} = \frac{1}{2x}\left[ \pi \coth{\pi x} - \frac{1}{x}\right]. 
q_301	A.324	4180416	body	 \sum_{n=1}^{\infty} \frac{1}{2n}\left[\pi \coth{\pi n} - \frac{1}{n} \right]. 
q_302	A.325	4180188	body	m
q_303	A.325	4180188	body	n!+2, n! +3, ..., n! + n
q_304	A.325	4180188	body	n! + 2
q_305	A.325	4180188	body	2
q_306	A.325	4180188	body	n! + 3
q_307	A.325	4180188	body	3
q_308	A.325	4180188	body	m
q_309	A.325	4180188	body	n-1
q_310	A.325	4180188	body	n!+2, n! +3, ..., n! + n
q_311	A.325	4180188	body	(n-1)
q_312	A.325	4180188	body	4!+2, 4! +3, 4! +4
q_313	A.325	4180188	body	→
q_314	A.325	4180188	body	26, 27, 28
q_315	A.325	4180188	body	8, 9, 10
q_316	A.325	4180188	body	14, 15 ,16.
q_317	A.326	4179813	body	P
q_318	A.326	4179813	body	 F=P \oplus T
q_319	A.326	4179813	body	T
q_320	A.327	4177181	body	A = \frac{1}{2} \begin{vmatrix} 1 & 1 &1 \\  x_1 & x_2 & x_3 \\ y_1 & y_2 & y_3 \\ \end{vmatrix} 
q_321	A.327	4177181	body	A=\frac{1}{2}\begin{vmatrix} 1 & 1 &1 \\  x & y & z \\ x^2 & y^2 &z^2 \\ \end{vmatrix}
q_322	A.327	4177181	body	\frac{1}{3}bh=\frac{1}{3}\times\frac{1}{2}(x-y)(y-z)(z-x)\times 1
q_323	A.327	4177181	body	= \frac{1}{6}(x-y)(y-z)(z-x)  
q_324	A.327	4177181	body	3\times 3
q_325	A.327	4177181	body	\begin{vmatrix} 1 & 1 &1 \\  x & y & z \\ x^2 & y^2 &z^2 \\ \end{vmatrix} 
q_326	A.327	4177181	body	(1,x,x^2),(1,y,y^2)
q_327	A.327	4177181	body	(1,z,z^2)
q_328	A.327	4177181	body	^{[1]} 
q_329	A.327	4177181	body	(x-y)(y-z)(z-x)
q_330	A.327	4177181	body	 = z^2(y-x)-z(y^2-x^2)+x(y^2-x^2)-x^2(y-x) 
q_331	A.327	4177181	body	 =z^2(y-x)-x^2(y-x)+x(y^2-x^2)-z(y^2-x^2) 
q_332	A.327	4177181	body	(y-x)
q_333	A.327	4177181	body	(y^2-x^2)
q_334	A.327	4177181	body	 =(y-x)(z^2-x^2)+(y^2-x^2)(x-z) 
q_335	A.327	4177181	body	(z^2-x^2)
q_336	A.327	4177181	body	(y^2-x^2)
q_337	A.327	4177181	body	 =(y-x)(z-x)(z+x)+(y-x)(y+x)(x-z) 
q_338	A.327	4177181	body	 =(y-x)(z-x)(z+x)-(y-x)(z-x)(y+x) 
q_339	A.327	4177181	body	(y-x)(z-x)
q_340	A.327	4177181	body	 =(y-x)(z-x) [z+x-y-x] 
q_341	A.327	4177181	body	 =(y-x)(z-x)(z-y) 
q_342	A.327	4177181	body	 =(x-y)(y-z)(z-x) 
q_343	A.327	4177181	body	x
q_344	A.327	4177181	body	1
q_345	A.327	4177181	body	x
q_346	A.327	4177181	body	1
q_347	A.327	4177181	body	1
q_348	A.327	4177181	body	\text{volume of a pyramid}=\frac{1}{3}bh
q_349	A.327	4177181	body	1
q_350	A.327	4177181	body	(x_1,y_1),(x_2.y_2),(x_3,y_3)
q_351	A.327	4177181	body	^{[2]}
q_352	A.327	4177181	body	(x,x^2),(y,y^2)
q_353	A.327	4177181	body	(z,z^2)
q_354	A.327	4177181	body	\frac{1}{2} (x-y)(y-z)(z-x)
q_355	A.327	4177181	body	(x-y)(y-z)(z-x)
q_356	A.327	4177181	body	\begin{equation*} \begin{vmatrix} 1 & 1 &1 \\  x & y & z \\ x^2 & y^2 &z^2 \\ \end{vmatrix}  =  \begin{vmatrix} 1 & 0 &1 \\  x & y-x & z \\ x^2 & y^2-x^2 &z^2 \\ \end{vmatrix}  \end{equation*}
q_357	A.328	4170548	title	\sum_{k=1}^{n}\cos\frac{2\pi k}{n}=0
q_358	A.328	4170548	body	\sum_{ k=1 }^{ n  } \cos\left(\frac{  2 \pi k }{  n  } \right) =0, \qquad n>1 
q_359	A.328	4170548	body	  \text{As } n=2 
q_360	A.328	4170548	body	  \cos\left(\frac{  2 \pi \cdot 1   }{  2  } \right) + \cos\left(\frac{  2 \pi \cdot 2   }{  2   } \right)  
q_361	A.328	4170548	body	 = \cos\left(\pi\right)  + \cos\left(2 \pi\right)    
q_362	A.328	4170548	body	 = -1+ 1 =0  ~~ \leftarrow~~ \text{Obvious}  
q_363	A.328	4170548	body	  \text{As}~~ n=3  
q_364	A.328	4170548	body	  \cos\left(\frac{  2 \pi \cdot  1   }{  3   } \right) +\cos\left(\frac{  2 \pi  \cdot  2   }{  3   } \right) + \cos\left(\frac{  2 \pi  \cdot  3   }{  3   } \right)  
q_365	A.328	4170548	body	 = \cos\left(\frac{  2 \pi  }{  3  } \right) + \cos\left(\frac{  4 \pi  }{  3  } \right) + \cos\left( 2\pi \right)  
q_366	A.328	4170548	body	 = \cos\left(\frac{  2 \pi  }{  3  } \right) + \cos\left(\frac{  4 \pi  }{  3  } \right) + 1  =?
q_367	A.328	4170548	body	n
q_368	A.329	4168878	title	A
q_369	A.329	4168878	title	U \supseteq A
q_370	A.329	4168878	title	V
q_371	A.329	4168878	title	A \subseteq V \subseteq \overline{V} \subseteq U
q_372	A.329	4168878	body	A
q_373	A.329	4168878	body	U
q_374	A.329	4168878	body	A\subseteq U
q_375	A.329	4168878	body	V
q_376	A.329	4168878	body	A \subseteq  V \subseteq \overline{V} \subseteq U
q_377	A.329	4168878	body	p \in A
q_378	A.329	4168878	body	p \in U
q_379	A.329	4168878	body	T_1
q_380	A.329	4168878	body	(X, \mathcal T)
q_381	A.329	4168878	body	p
q_382	A.329	4168878	body	X
q_383	A.329	4168878	body	U
q_384	A.329	4168878	body	p
q_385	A.329	4168878	body	V
q_386	A.329	4168878	body	p
q_387	A.329	4168878	body	\overline{V}\subseteq U
q_388	A.329	4168878	body	 V \subseteq \overline{V} \subseteq U
q_389	A.329	4168878	body	A\subseteq V \subseteq \overline{V}
q_390	A.329	4168878	body	V\subseteq \overline{V} \subseteq A
q_391	A.330	4168744	body	\Delta= \begin{vmatrix} x&a&a&\ldots&a\\ a&x&a&\ldots&a\\ a&a&x&\ldots&a\\ \cdot&\cdot&\cdot&\ldots&\cdot\\ a&a&a&\ldots&x \end{vmatrix}
q_392	A.330	4168744	body	\begin{vmatrix} 1&a&a&\ldots&a\\ 1&x&a&\ldots&a\\ 1&a&x&\ldots&a\\ \cdot&\cdot&\cdot&\ldots&\cdot\\ 1&a&a&\ldots&x \end{vmatrix}
q_393	A.330	4168744	body	n
q_394	A.330	4168744	body	\Delta=[x+a(n-1)](x-a)^{n-1}
q_395	A.331	4166768	title	4^x+6^x=9^x
q_396	A.331	4166768	body	4^x+6^x=9^x
q_397	A.331	4166768	body	f(x)=4^x+6^x-9^x
q_398	A.331	4166768	body	f(0)=1>0, f(1)=1>0, f(2)=-29
q_399	A.331	4166768	body	g(x)=(4/9)^x+(6/9)^x-1 \implies f'(x)<0
q_400	A.331	4166768	body	x
q_401	A.331	4166768	body	g(x)
q_402	A.332	4166489	body	g(n) = \frac{n}{{L(n)}},\forall n \in {\Bbb N}{\text{ such that }}n \geqslant 2
q_403	A.332	4166489	body	g(n) = 1 = \frac{p}{p} = \frac{n}{{L(n)}}
q_404	A.332	4166489	body	n = {p_1}^{{\alpha _1}}p_2^{{\alpha _2}}...{p_m}^{{\alpha _m}},{\text{ }}i < j,{\text{ }}{p_i} < {p_j}{\text{ and }}i,j \in {{\Bbb Z}^ + }{\text{ and }}{\alpha _i} \in {{\Bbb Z}^{ \geqslant 0}}
q_405	A.332	4166489	body	p_1 = p = L(n)
q_406	A.332	4166489	body	\exists y \in {{\Bbb Z}^ + }:y = \frac{n}{x} = \frac{n}{{L(n)}} = {p_1}^{{\alpha _1} - 1}{p_2}^{{\alpha _2}}...{p_m}^{{\alpha _m}}
q_407	A.332	4166489	body	\frac{n}{d} = \frac{n}{{g(n)}} = m
q_408	A.332	4166489	body	x = m = p = L(n) = \frac{n}{g(n)} \Rightarrow g(n) = \frac{n}{p} =\frac{n}{L(n)} = y
q_409	A.332	4166489	body	g(n) = \frac{n}{L(n)}
q_410	A.332	4166489	body	L:{\Bbb N} \to {\Bbb N}
q_411	A.332	4166489	body	L(n) = {\text{least prime factor p of n}}
q_412	A.332	4166489	body	g:{\Bbb N} \to {\Bbb N}
q_413	A.332	4166489	body	g(n) = {\text{biggest positive integer d such that d|n and 1}} \leqslant {\text{d < n}}
q_414	A.332	4166489	body	n \geqslant 2
q_415	A.332	4166489	body	n
q_416	A.332	4166489	body	n
q_417	A.332	4166489	body	n = p
q_418	A.332	4166489	body	p
q_419	A.332	4166489	body	L(n)
q_420	A.332	4166489	body	p
q_421	A.332	4166489	body	p = p_1
q_422	A.332	4166489	body	p
q_423	A.332	4166489	body	L(n)
q_424	A.332	4166489	body	p = p_1
q_425	A.332	4166489	body	p|n
q_426	A.332	4166489	body	x = p = L(n)
q_427	A.332	4166489	body	1 < x < n
q_428	A.332	4166489	body	x|n
q_429	A.332	4166489	body	y|n
q_430	A.332	4166489	body	y < n
q_431	A.332	4166489	body	y
q_432	A.332	4166489	body	y|n
q_433	A.332	4166489	body	d = g(n)
q_434	A.332	4166489	body	m
q_435	A.332	4166489	body	m = p
q_436	A.332	4166489	body	n=md
q_437	A.332	4166489	body	m = ab
q_438	A.332	4166489	body	1 < a,b < m \Rightarrow n = abd \Rightarrow ad|n
q_439	A.332	4166489	body	1<a<m \Rightarrow d<ad<md = n
q_440	A.332	4166489	body	n
q_441	A.332	4166489	body	ad
q_442	A.332	4166489	body	n
q_443	A.332	4166489	body	d=g(n)
q_444	A.332	4166489	body	d = g(n)
q_445	A.332	4166489	body	m = \frac{n}{d} = \frac{n}{g(n)}
q_446	A.332	4166489	body	m = L(n) = p
q_447	A.333	4164620	body	\frac{\sqrt{1-p^2}}{2\pi(1-2p\sin(\varphi)\cos(\varphi))}
q_448	A.333	4164620	body	( X, Y)
q_449	A.333	4164620	body	E(X^2)
q_450	A.333	4164620	body	E(Y^2) = 1
q_451	A.333	4164620	body	E(XY) = p
q_452	A.333	4164620	body	(X, Y)
q_453	A.333	4164620	body	(R,\Phi)
q_454	A.333	4164620	body	R^2 = X^2 + Y^2
q_455	A.333	4164620	body	\Phi
q_456	A.333	4164620	body	p = 0
q_457	A.333	4164620	body	P\{XY > 0\} =  \frac{1}{2} +\pi^{-1} \arcsin (p)
q_458	A.333	4164620	body	P\{XY < 0\}= \pi^{-1} \arccos (p)
q_459	A.334	4163828	title	a^{log_a(b)}=b
q_460	A.334	4163828	body	a^{log_a(b)}=b
q_461	A.334	4163828	body	log_aa^{log_a(b)}=log_ab
q_462	A.334	4163828	body	log_a(b)log_aa= log_ab
q_463	A.334	4163828	body	log_a(b)= log_ab
q_464	A.335	4163359	body	 \lim_{N \rightarrow \infty} \sum_{k=0}^{N}\frac{A^k}{k!} =X  
q_465	A.335	4163359	body	 0 \le  \sum_{k=0}^{\infty} \left\Vert  \frac{A^k }{k!} \right\Vert  \le  \sum_{k=0}^{N} \frac{\Vert A \Vert ^k }{k!}<\infty , 
q_466	A.335	4163359	body	 \lim_{N \rightarrow \infty} \left\Vert \sum_{k=0}^{N} \frac{A^k}{k!} -X \right\Vert  =0
