id	topic_id	thread_id	type	formula
q_11	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""w=se^{i{\phi}}"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>w</mi><mo>=</mo><mrow><mi>s</mi><mo>⁢</mo><msup><mi>e</mi><mrow><mi>i</mi><mo>⁢</mo><mi>ϕ</mi></mrow></msup></mrow></mrow></semantics></math>"
q_12	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""s\geq 0"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>s</mi><mo>≥</mo><mn>0</mn></mrow></semantics></math>"
q_13	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\phi\in\mathbb{R}"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>ϕ</mi><mo>∈</mo><mi>ℝ</mi></mrow></semantics></math>"
q_14	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""z^{n}=w"" class=""ltx_Math"" display=""block""><semantics><mrow><msup><mi>z</mi><mi>n</mi></msup><mo>=</mo><mi>w</mi></mrow></semantics></math>"
q_15	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\mathbb{C}"" class=""ltx_Math"" display=""block""><semantics><mi>ℂ</mi></semantics></math>"
q_16	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_17	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_18	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_19	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_20	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x,y"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>x</mi><mo>,</mo><mi>y</mi></mrow></semantics></math>"
q_21	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,y]=x"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mi>x</mi></mrow></semantics></math>"
q_22	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""K"" class=""ltx_Math"" display=""block""><semantics><mi>K</mi></semantics></math>"
q_23	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""K"" class=""ltx_Math"" display=""block""><semantics><mi>K</mi></semantics></math>"
q_24	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext="":\ V\ X\ V\rightarrow V"" class=""ltx_Math"" display=""block""><semantics><mrow><mi/><mo rspace=""7.5pt"">:</mo><mrow><mrow><mpadded width=""+5pt""><mi>V</mi></mpadded><mo>⁢</mo><mpadded width=""+5pt""><mi>X</mi></mpadded><mo>⁢</mo><mi>V</mi></mrow><mo>→</mo><mi>V</mi></mrow></mrow></semantics></math>"
q_25	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""a)"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>a</mi><mo stretchy=""false"">)</mo></mrow></semantics></math>"
q_26	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,x]=0"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>x</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mn>0</mn></mrow></semantics></math>"
q_27	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x\in V"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>x</mi><mo>∈</mo><mi>V</mi></mrow></semantics></math>"
q_28	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""b)"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>b</mi><mo stretchy=""false"">)</mo></mrow></semantics></math>"
q_29	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,[y,z]]+[y,[z,x]]+[z,[x,y]]=0"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mrow><mo stretchy=""false"">[</mo><mi>y</mi><mo>,</mo><mi>z</mi><mo stretchy=""false"">]</mo></mrow><mo stretchy=""false"">]</mo></mrow><mo>+</mo><mrow><mo stretchy=""false"">[</mo><mi>y</mi><mo>,</mo><mrow><mo stretchy=""false"">[</mo><mi>z</mi><mo>,</mo><mi>x</mi><mo stretchy=""false"">]</mo></mrow><mo stretchy=""false"">]</mo></mrow><mo>+</mo><mrow><mo stretchy=""false"">[</mo><mi>z</mi><mo>,</mo><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow><mo stretchy=""false"">]</mo></mrow></mrow><mo>=</mo><mn>0</mn></mrow></semantics></math>"
q_30	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x,y,z\in V"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mi>x</mi><mo>,</mo><mi>y</mi><mo>,</mo><mi>z</mi></mrow><mo>∈</mo><mi>V</mi></mrow></semantics></math>"
q_31	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,x]=[y,y]=0"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>x</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mrow><mo stretchy=""false"">[</mo><mi>y</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mn>0</mn></mrow></semantics></math>"
q_32	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,y]=-[x,y]"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mrow><mo>-</mo><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow></mrow></mrow></semantics></math>"
q_33	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,y]"" class=""ltx_Math"" display=""block""><semantics><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow></semantics></math>"
q_34	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[x,y]=x"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mi>x</mi></mrow></semantics></math>"
q_35	A.303	4232208	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[y,x]=-x"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><mi>y</mi><mo>,</mo><mi>x</mi><mo stretchy=""false"">]</mo></mrow><mo>=</mo><mrow><mo>-</mo><mi>x</mi></mrow></mrow></semantics></math>"
q_36	A.304	4226422	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""2"" class=""ltx_Math"" display=""block""><semantics><mn>2</mn></semantics></math>"
q_37	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[T_{X}^{0,1},T_{X}^{0,1}]\subset T_{X}^{0,1}"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">[</mo><msubsup><mi>T</mi><mi>X</mi><mrow><mn>0</mn><mo>,</mo><mn>1</mn></mrow></msubsup><mo>,</mo><msubsup><mi>T</mi><mi>X</mi><mrow><mn>0</mn><mo>,</mo><mn>1</mn></mrow></msubsup><mo stretchy=""false"">]</mo></mrow><mo>⊂</mo><msubsup><mi>T</mi><mi>X</mi><mrow><mn>0</mn><mo>,</mo><mn>1</mn></mrow></msubsup></mrow></semantics></math>"
q_38	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""X"" class=""ltx_Math"" display=""block""><semantics><mi>X</mi></semantics></math>"
q_39	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""X"" class=""ltx_Math"" display=""block""><semantics><mi>X</mi></semantics></math>"
q_40	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""T_{X}^{0,1}"" class=""ltx_Math"" display=""block""><semantics><msubsup><mi>T</mi><mi>X</mi><mrow><mn>0</mn><mo>,</mo><mn>1</mn></mrow></msubsup></semantics></math>"
q_41	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""1"" class=""ltx_Math"" display=""block""><semantics><mn>1</mn></semantics></math>"
q_42	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[-,-]"" class=""ltx_Math"" display=""block""><semantics><mrow><mo stretchy=""false"">[</mo><mo>-</mo><mo>,</mo><mo>-</mo><mo stretchy=""false"">]</mo></mrow></semantics></math>"
q_43	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""T_{X}^{0,1}"" class=""ltx_Math"" display=""block""><semantics><msubsup><mi>T</mi><mi>X</mi><mrow><mn>0</mn><mo>,</mo><mn>1</mn></mrow></msubsup></semantics></math>"
q_44	A.304	4226422	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""X"" class=""ltx_Math"" display=""block""><semantics><mi>X</mi></semantics></math>"
q_45	A.305	4223841	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^{N}\frac{1}{2^{r}}\right\rfloor"" class=""ltx_Math"" display=""block""><semantics><mrow><munder><mo movablelimits=""false"">lim</mo><mrow><mi>N</mi><mo>→</mo><mi mathvariant=""normal"">∞</mi></mrow></munder><mo>⁡</mo><mrow><mo>⌊</mo><mrow><munderover><mo largeop=""true"" movablelimits=""false"" symmetric=""true"">∑</mo><mrow><mi>r</mi><mo>=</mo><mn>1</mn></mrow><mi>N</mi></munderover><mfrac><mn>1</mn><msup><mn>2</mn><mi>r</mi></msup></mfrac></mrow><mo>⌋</mo></mrow></mrow></semantics></math>"
q_46	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^{N}\frac{1}{2^{r}}\right\rfloor"" class=""ltx_Math"" display=""block""><semantics><mrow><munder><mo movablelimits=""false"">lim</mo><mrow><mi>N</mi><mo>→</mo><mi mathvariant=""normal"">∞</mi></mrow></munder><mo>⁡</mo><mrow><mo>⌊</mo><mrow><munderover><mo largeop=""true"" movablelimits=""false"" symmetric=""true"">∑</mo><mrow><mi>r</mi><mo>=</mo><mn>1</mn></mrow><mi>N</mi></munderover><mfrac><mn>1</mn><msup><mn>2</mn><mi>r</mi></msup></mfrac></mrow><mo>⌋</mo></mrow></mrow></semantics></math>"
q_47	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""1"" class=""ltx_Math"" display=""block""><semantics><mn>1</mn></semantics></math>"
q_48	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""0"" class=""ltx_Math"" display=""block""><semantics><mn>0</mn></semantics></math>"
q_49	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\frac{a}{1-r}"" class=""ltx_Math"" display=""block""><semantics><mfrac><mi>a</mi><mrow><mn>1</mn><mo>-</mo><mi>r</mi></mrow></mfrac></semantics></math>"
q_50	A.305	4223841	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lim_{N\to\infty}"" class=""ltx_Math"" display=""block""><semantics><munder><mo movablelimits=""false"">lim</mo><mrow><mi>N</mi><mo>→</mo><mi mathvariant=""normal"">∞</mi></mrow></munder></semantics></math>"
q_51	A.306	4220206	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""B=\gamma+\sum_{p}\left\{\log\left(1-\frac{1}{p}\right)+\frac{1}{p}\right\}"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>B</mi><mo>=</mo><mrow><mi>γ</mi><mo>+</mo><mrow><munder><mo largeop=""true"" movablelimits=""false"" symmetric=""true"">∑</mo><mi>p</mi></munder><mrow><mo>{</mo><mrow><mrow><mi>log</mi><mo>⁡</mo><mrow><mo>(</mo><mrow><mn>1</mn><mo>-</mo><mfrac><mn>1</mn><mi>p</mi></mfrac></mrow><mo>)</mo></mrow></mrow><mo>+</mo><mfrac><mn>1</mn><mi>p</mi></mfrac></mrow><mo>}</mo></mrow></mrow></mrow></mrow></semantics></math>"
q_52	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_53	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""t"" class=""ltx_Math"" display=""block""><semantics><mi>t</mi></semantics></math>"
q_54	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""a^{t}\equiv 1\pmod{n}"" class=""ltx_Math"" display=""block""><semantics><mrow><msup><mi>a</mi><mi>t</mi></msup><mo>≡</mo><mrow><mn>1</mn><mspace width=""veryverythickmathspace""/><mrow><mo lspace=""8.1pt"" stretchy=""false"">(</mo><mrow><mo movablelimits=""false"">mod</mo><mi>n</mi></mrow><mo stretchy=""false"">)</mo></mrow></mrow></mrow></semantics></math>"
q_55	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""a"" class=""ltx_Math"" display=""block""><semantics><mi>a</mi></semantics></math>"
q_56	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\gcd(a,n)=1"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mi>gcd</mi><mo>⁡</mo><mrow><mo stretchy=""false"">(</mo><mi>a</mi><mo>,</mo><mi>n</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>=</mo><mn>1</mn></mrow></semantics></math>"
q_57	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lambda(n)"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>λ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>n</mi><mo stretchy=""false"">)</mo></mrow></mrow></semantics></math>"
q_58	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\lambda(n)=\max\{\operatorname{ord}_{n}(a):\gcd(a,n)=1\}"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mi>λ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>n</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>=</mo><mrow><mi>max</mi><mo>⁡</mo><mrow><mo stretchy=""false"">{</mo><mrow><mrow><msub><mi>ord</mi><mi>n</mi></msub><mo>⁡</mo><mrow><mo stretchy=""false"">(</mo><mi>a</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>:</mo><mrow><mrow><mi>gcd</mi><mo>⁡</mo><mrow><mo stretchy=""false"">(</mo><mi>a</mi><mo>,</mo><mi>n</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>=</mo><mn>1</mn></mrow></mrow><mo stretchy=""false"">}</mo></mrow></mrow></mrow></semantics></math>"
q_59	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" class=""ltx_Math"" display=""block""><semantics><mi>x</mi></semantics></math>"
q_60	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_61	A.307	4217271	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\operatorname{ord}_{n}(x)=\lambda(n)"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><msub><mi>ord</mi><mi>n</mi></msub><mo>⁡</mo><mrow><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>=</mo><mrow><mi>λ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>n</mi><mo stretchy=""false"">)</mo></mrow></mrow></mrow></semantics></math>"
q_62	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\zeta(s)=\sum_{n=1}^{\infty}\frac{1}{n^{s}}=\frac{1}{\Gamma(s)}\int_{0}^{% \infty}\frac{x^{s-1}}{e^{x}-1}dx"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mi>ζ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>s</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>=</mo><mrow><munderover><mo largeop=""true"" movablelimits=""false"" symmetric=""true"">∑</mo><mrow><mi>n</mi><mo>=</mo><mn>1</mn></mrow><mi mathvariant=""normal"">∞</mi></munderover><mfrac><mn>1</mn><msup><mi>n</mi><mi>s</mi></msup></mfrac></mrow><mo>=</mo><mrow><mfrac><mn>1</mn><mrow><mi mathvariant=""normal"">Γ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>s</mi><mo stretchy=""false"">)</mo></mrow></mrow></mfrac><mo>⁢</mo><mrow><msubsup><mo largeop=""true"" symmetric=""true"">∫</mo><mn>0</mn><mi mathvariant=""normal"">∞</mi></msubsup><mrow><mfrac><msup><mi>x</mi><mrow><mi>s</mi><mo>-</mo><mn>1</mn></mrow></msup><mrow><msup><mi>e</mi><mi>x</mi></msup><mo>-</mo><mn>1</mn></mrow></mfrac><mo>⁢</mo><mrow><mo rspace=""0pt"">𝑑</mo><mi>x</mi></mrow></mrow></mrow></mrow></mrow></semantics></math>"
q_63	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\zeta(s)=\frac{\Gamma(1-s)}{2\pi i}\int_{C}\frac{(-z)^{s}}{e^{z}-1}\frac{dz}{z}"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mi>ζ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>s</mi><mo stretchy=""false"">)</mo></mrow></mrow><mo>=</mo><mrow><mfrac><mrow><mi mathvariant=""normal"">Γ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mrow><mn>1</mn><mo>-</mo><mi>s</mi></mrow><mo stretchy=""false"">)</mo></mrow></mrow><mrow><mn>2</mn><mo>⁢</mo><mi>π</mi><mo>⁢</mo><mi>i</mi></mrow></mfrac><mo>⁢</mo><mrow><msub><mo largeop=""true"" symmetric=""true"">∫</mo><mi>C</mi></msub><mrow><mfrac><msup><mrow><mo stretchy=""false"">(</mo><mrow><mo>-</mo><mi>z</mi></mrow><mo stretchy=""false"">)</mo></mrow><mi>s</mi></msup><mrow><msup><mi>e</mi><mi>z</mi></msup><mo>-</mo><mn>1</mn></mrow></mfrac><mo>⁢</mo><mfrac><mrow><mi>d</mi><mo>⁢</mo><mi>z</mi></mrow><mi>z</mi></mfrac></mrow></mrow></mrow></mrow></semantics></math>"
q_64	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\int_{C}\frac{(-z)^{s}}{e^{z}-1}\frac{dz}{z}"" class=""ltx_Math"" display=""block""><semantics><mrow><msub><mo largeop=""true"" symmetric=""true"">∫</mo><mi>C</mi></msub><mrow><mfrac><msup><mrow><mo stretchy=""false"">(</mo><mrow><mo>-</mo><mi>z</mi></mrow><mo stretchy=""false"">)</mo></mrow><mi>s</mi></msup><mrow><msup><mi>e</mi><mi>z</mi></msup><mo>-</mo><mn>1</mn></mrow></mfrac><mo>⁢</mo><mfrac><mrow><mi>d</mi><mo>⁢</mo><mi>z</mi></mrow><mi>z</mi></mfrac></mrow></mrow></semantics></math>"
q_65	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""(e^{i\pi s}-e^{-i\pi s})\int_{0}^{\infty}\frac{x^{s-1}}{e^{x}-1}dx"" class=""ltx_Math"" display=""block""><semantics><mrow><mrow><mo stretchy=""false"">(</mo><mrow><msup><mi>e</mi><mrow><mi>i</mi><mo>⁢</mo><mi>π</mi><mo>⁢</mo><mi>s</mi></mrow></msup><mo>-</mo><msup><mi>e</mi><mrow><mo>-</mo><mrow><mi>i</mi><mo>⁢</mo><mi>π</mi><mo>⁢</mo><mi>s</mi></mrow></mrow></msup></mrow><mo stretchy=""false"">)</mo></mrow><mo>⁢</mo><mrow><msubsup><mo largeop=""true"" symmetric=""true"">∫</mo><mn>0</mn><mi mathvariant=""normal"">∞</mi></msubsup><mrow><mfrac><msup><mi>x</mi><mrow><mi>s</mi><mo>-</mo><mn>1</mn></mrow></msup><mrow><msup><mi>e</mi><mi>x</mi></msup><mo>-</mo><mn>1</mn></mrow></mfrac><mo>⁢</mo><mrow><mo rspace=""0pt"">𝑑</mo><mi>x</mi></mrow></mrow></mrow></mrow></semantics></math>"
q_66	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\mbox{Re}(s)\gt 1"" class=""ltx_Math"" display=""block""><semantics><mrow><mtext>Re</mtext><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mi>s</mi><mo stretchy=""false"">)</mo></mrow><mo>⁢</mo><merror class=""ltx_ERROR undefined undefined""><mtext>\gt</mtext></merror><mo>⁢</mo><mn>1</mn></mrow></semantics></math>"
q_67	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""s"" class=""ltx_Math"" display=""block""><semantics><mi>s</mi></semantics></math>"
q_68	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""s=1"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>s</mi><mo>=</mo><mn>1</mn></mrow></semantics></math>"
q_69	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""C"" class=""ltx_Math"" display=""block""><semantics><mi>C</mi></semantics></math>"
q_70	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""+\infty"" class=""ltx_Math"" display=""block""><semantics><mrow><mo>+</mo><mi mathvariant=""normal"">∞</mi></mrow></semantics></math>"
q_71	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\epsilon"" class=""ltx_Math"" display=""block""><semantics><mi>ϵ</mi></semantics></math>"
q_72	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" class=""ltx_Math"" display=""block""><semantics><mi>x</mi></semantics></math>"
q_73	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\delta"" class=""ltx_Math"" display=""block""><semantics><mi>δ</mi></semantics></math>"
q_74	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""+\infty"" class=""ltx_Math"" display=""block""><semantics><mrow><mo>+</mo><mi mathvariant=""normal"">∞</mi></mrow></semantics></math>"
q_75	A.308	4214335	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\epsilon"" class=""ltx_Math"" display=""block""><semantics><mi>ϵ</mi></semantics></math>"
