id	topic_id	thread_id	type	slt
q_24	A.5	3111785	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""P((2)|(1))=\frac{P((2)\cap(1))}{P((1))}=\frac{P((2))P((1))}{P((1))}=P((2))"" display=""block"">   <mrow>     <mi>P</mi>     <mrow>       <mo stretchy=""false"">(</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mn>2</mn>         <mo stretchy=""false"">)</mo>       </mrow>       <mo stretchy=""false"">|</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mn>1</mn>         <mo stretchy=""false"">)</mo>       </mrow>       <mo stretchy=""false"">)</mo>     </mrow>     <mo>=</mo>     <mfrac>       <mrow>         <mi>P</mi>         <mo>⁢</mo>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <mrow>               <mo stretchy=""false"">(</mo>               <mn>2</mn>               <mo stretchy=""false"">)</mo>             </mrow>             <mo>∩</mo>             <mrow>               <mo stretchy=""false"">(</mo>               <mn>1</mn>               <mo stretchy=""false"">)</mo>             </mrow>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>       </mrow>       <mrow>         <mi>P</mi>         <mo>⁢</mo>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <mo stretchy=""false"">(</mo>             <mn>1</mn>             <mo stretchy=""false"">)</mo>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>       </mrow>     </mfrac>     <mo>=</mo>     <mfrac>       <mrow>         <mi>P</mi>         <mo>⁢</mo>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <mo stretchy=""false"">(</mo>             <mn>2</mn>             <mo stretchy=""false"">)</mo>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>         <mo>⁢</mo>         <mi>P</mi>         <mo>⁢</mo>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <mo stretchy=""false"">(</mo>             <mn>1</mn>             <mo stretchy=""false"">)</mo>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>       </mrow>       <mrow>         <mi>P</mi>         <mo>⁢</mo>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <mo stretchy=""false"">(</mo>             <mn>1</mn>             <mo stretchy=""false"">)</mo>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>       </mrow>     </mfrac>     <mo>=</mo>     <mi>P</mi>     <mrow>       <mo stretchy=""false"">(</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mn>2</mn>         <mo stretchy=""false"">)</mo>       </mrow>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_25	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""5^{133}\mod 8."" display=""block"">   <mrow>     <mrow>       <msup>         <mn>5</mn>         <mn>133</mn>       </msup>       <mo>⁢</mo>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\mod</mtext>       </merror>       <mo>⁢</mo>       <mn>8</mn>     </mrow>     <mo>.</mo>   </mrow> </math> "
q_26	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""5^{n}\mod 8=5"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>5</mn>         <mi>n</mi>       </msup>       <mo>⁢</mo>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\mod</mtext>       </merror>       <mo>⁢</mo>       <mn>8</mn>     </mrow>     <mo>=</mo>     <mn>5</mn>   </mrow> </math> "
q_27	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" display=""block"">   <mi>n</mi> </math> "
q_28	A.6	3116896	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""5^{133}\mod 8=5"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>5</mn>         <mn>133</mn>       </msup>       <mo>⁢</mo>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\mod</mtext>       </merror>       <mo>⁢</mo>       <mn>8</mn>     </mrow>     <mo>=</mo>     <mn>5</mn>   </mrow> </math> "
q_29	A.7	3122632	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\frac{11^{\text}{10}-1}{100}"" display=""block"">   <mfrac>     <mrow>       <mrow>         <msup>           <mn>11</mn>           <merror class=""ltx_ERROR undefined undefined"">             <mtext>\text</mtext>           </merror>         </msup>         <mo>⁢</mo>         <mn>10</mn>       </mrow>       <mo>-</mo>       <mn>1</mn>     </mrow>     <mn>100</mn>   </mfrac> </math> "
q_30	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>10</mn>     </mrow>     <mo>-</mo>     <mn>1</mn>   </mrow> </math> "
q_31	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""100"" display=""block"">   <mn>100</mn> </math> "
q_32	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" display=""block"">   <mi>x</mi> </math> "
q_33	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1=x\pmod{100}"" display=""block"">   <mrow>     <mrow>       <mrow>         <msup>           <mn>11</mn>           <merror class=""ltx_ERROR undefined undefined"">             <mtext>\text</mtext>           </merror>         </msup>         <mo>⁢</mo>         <mn>10</mn>       </mrow>       <mo>-</mo>       <mn>1</mn>     </mrow>     <mo>=</mo>     <mrow>       <mi>x</mi>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_34	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{2}\equiv 21\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>2</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mn>21</mn>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_35	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""(11^{\text}{2})^{\text}{2}\equiv(21)^{\text}{2}\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <msup>               <mn>11</mn>               <merror class=""ltx_ERROR undefined undefined"">                 <mtext>\text</mtext>               </merror>             </msup>             <mo>⁢</mo>             <mn>2</mn>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>2</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mrow>         <msup>           <mrow>             <mo stretchy=""false"">(</mo>             <mn>21</mn>             <mo stretchy=""false"">)</mo>           </mrow>           <merror class=""ltx_ERROR undefined undefined"">             <mtext>\text</mtext>           </merror>         </msup>         <mo>⁢</mo>         <mn>2</mn>       </mrow>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_36	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{4}\equiv 441\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>4</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mn>441</mn>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_37	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{4}\equiv 41\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>4</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mn>41</mn>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_38	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""(11^{\text}{4})^{\text}{2}\equiv(41)^{\text}{2}\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mrow>           <mo stretchy=""false"">(</mo>           <mrow>             <msup>               <mn>11</mn>               <merror class=""ltx_ERROR undefined undefined"">                 <mtext>\text</mtext>               </merror>             </msup>             <mo>⁢</mo>             <mn>4</mn>           </mrow>           <mo stretchy=""false"">)</mo>         </mrow>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>2</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mrow>         <msup>           <mrow>             <mo stretchy=""false"">(</mo>             <mn>41</mn>             <mo stretchy=""false"">)</mo>           </mrow>           <merror class=""ltx_ERROR undefined undefined"">             <mtext>\text</mtext>           </merror>         </msup>         <mo>⁢</mo>         <mn>2</mn>       </mrow>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_39	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{8}\equiv 1681\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>8</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mn>1681</mn>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_40	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{8}\equiv 81\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>8</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mn>81</mn>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_41	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{8}×11^{\text}{2}\equiv(81×21)\pmod{100}"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>8</mn>       <mo>⁢</mo>       <mi>Ã</mi>       <mo>⁢</mo>       <mi mathvariant=""normal""></mi>       <mo>⁢</mo>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>2</mn>     </mrow>     <mo>≡</mo>     <mrow>       <mrow>         <mo stretchy=""false"">(</mo>         <mrow>           <mn>81</mn>           <mo>⁢</mo>           <mi>Ã</mi>           <mo>⁢</mo>           <mi mathvariant=""normal""></mi>           <mo>⁢</mo>           <mn>21</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>       <mspace width=""veryverythickmathspace""/>       <mrow>         <mo lspace=""8.1pt"" stretchy=""false"">(</mo>         <mrow>           <mo movablelimits=""false"">mod</mo>           <mn>100</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_42	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}\equiv 1701\pmod{100}\implies 11^{\text}{10}\equiv 1\pmod{100}"" display=""block"">   <mrow>     <msup>       <mn>11</mn>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\text</mtext>       </merror>     </msup>     <mn>10</mn>     <mo>≡</mo>     <mn>1701</mn>     <mrow>       <mo lspace=""8.1pt"" stretchy=""false"">(</mo>       <mrow>         <mo movablelimits=""false"">mod</mo>         <mn>100</mn>       </mrow>       <mo stretchy=""false"">)</mo>     </mrow>     <merror class=""ltx_ERROR undefined undefined"">       <mtext>\implies</mtext>     </merror>     <msup>       <mn>11</mn>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\text</mtext>       </merror>     </msup>     <mn>10</mn>     <mo>≡</mo>     <mn>1</mn>     <mrow>       <mo lspace=""8.1pt"" stretchy=""false"">(</mo>       <mrow>         <mo movablelimits=""false"">mod</mo>         <mn>100</mn>       </mrow>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_43	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1\equiv(1-1)\pmod{100}\implies 11^{\text}{10}-1\equiv 0\pmod{100}"" display=""block"">   <mrow>     <msup>       <mn>11</mn>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\text</mtext>       </merror>     </msup>     <mn>10</mn>     <mo>-</mo>     <mn>1</mn>     <mo>≡</mo>     <mrow>       <mo stretchy=""false"">(</mo>       <mn>1</mn>       <mo>-</mo>       <mn>1</mn>       <mo stretchy=""false"">)</mo>     </mrow>     <mrow>       <mo lspace=""8.1pt"" stretchy=""false"">(</mo>       <mrow>         <mo movablelimits=""false"">mod</mo>         <mn>100</mn>       </mrow>       <mo stretchy=""false"">)</mo>     </mrow>     <merror class=""ltx_ERROR undefined undefined"">       <mtext>\implies</mtext>     </merror>     <msup>       <mn>11</mn>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\text</mtext>       </merror>     </msup>     <mn>10</mn>     <mo>-</mo>     <mn>1</mn>     <mo>≡</mo>     <mn>0</mn>     <mrow>       <mo lspace=""8.1pt"" stretchy=""false"">(</mo>       <mrow>         <mo movablelimits=""false"">mod</mo>         <mn>100</mn>       </mrow>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_44	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" display=""block"">   <mi>x</mi> </math> "
q_45	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x=0"" display=""block"">   <mrow>     <mi>x</mi>     <mo>=</mo>     <mn>0</mn>   </mrow> </math> "
q_46	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""11^{\text}{10}-1"" display=""block"">   <mrow>     <mrow>       <msup>         <mn>11</mn>         <merror class=""ltx_ERROR undefined undefined"">           <mtext>\text</mtext>         </merror>       </msup>       <mo>⁢</mo>       <mn>10</mn>     </mrow>     <mo>-</mo>     <mn>1</mn>   </mrow> </math> "
q_47	A.7	3122632	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""100"" display=""block"">   <mn>100</mn> </math> "
